Ref,Val,Package,PosX,PosY,Rot,Side
"C3","4.7u","C_0402_1005Metric",5.369718,6.849929,-90.000000,bottom
"C6","4.7u","C_0402_1005Metric",11.592718,30.697929,90.000000,bottom
"C7","4.7u","C_0402_1005Metric",3.789718,51.403929,0.000000,bottom
"C8","0.1u","C_0402_1005Metric",11.338718,15.485929,180.000000,bottom
"C15","0.1u","C_0402_1005Metric",13.624718,30.725929,-90.000000,bottom
"C16","0.1u","C_0402_1005Metric",9.560718,30.725929,90.000000,bottom
"C17","0.1u","C_0402_1005Metric",6.563518,25.391929,-90.000000,bottom
"C20","4.7u","C_0402_1005Metric",16.342518,22.420129,-90.000000,bottom
"C21","0.1u","C_0402_1005Metric",16.875918,43.171929,-90.000000,bottom
"C22","4.7u","C_0402_1005Metric",17.815718,43.171929,-90.000000,bottom
"C24","0.1u","C_0402_1005Metric",12.981647,50.726047,180.000000,bottom
"C25","4.7u","C_0402_1005Metric",12.981647,51.691247,180.000000,bottom
"C26","0.1u","C_0402_1005Metric",12.964318,55.668729,0.000000,bottom
"C27","0.1u","C_0402_1005Metric",6.131718,44.822929,90.000000,bottom
"C28","0.1u","C_0402_1005Metric",17.147247,50.751447,-90.000000,bottom
"C29","0.1u","C_0402_1005Metric",7.071518,42.054329,-90.000000,bottom
"C30","4.7u","C_0402_1005Metric",6.106318,42.054329,-90.000000,bottom
"C31","4.7u","C_0402_1005Metric",15.247718,50.167247,0.000000,bottom
"C33","0.1u","C_0402_1005Metric",17.180718,46.880329,90.000000,bottom
"C34","4.7u","C_0402_1005Metric",18.120518,46.880329,90.000000,bottom
"C36","0.1u","C_0402_1005Metric",6.004718,15.384329,0.000000,bottom
"C37","4.7u","C_0402_1005Metric",3.789718,47.847929,180.000000,bottom
"C39","4.7u","C_0402_1005Metric",3.845718,7.357929,180.000000,bottom
"C41","4.7u","C_0402_1005Metric",3.845718,11.040929,0.000000,bottom
"D1","1N4148WT-7","D_SOD-523",15.478918,51.259447,0.000000,bottom
"D5","1N5819WS","D_SOD-323",8.417718,8.119929,-90.000000,bottom
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",13.495718,59.590929,180.000000,bottom
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",19.288918,-1.270000,180.000000,bottom
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",2.702718,-1.270000,180.000000,bottom
"PTC1","MF-FSMF035X-2","R_0603_1608Metric",6.639718,8.246929,90.000000,bottom
"R2","1k","R_0402_1005Metric",19.238118,15.663729,0.000000,bottom
"R3","DNF","R_0402_1005Metric",19.238118,17.594129,180.000000,bottom
"R4","27","R_0402_1005Metric",13.599318,22.394729,90.000000,bottom
"R5","27","R_0402_1005Metric",14.564518,22.394729,90.000000,bottom
"R6","27","R_0402_1005Metric",6.461918,29.862329,-90.000000,bottom
"R7","10K","R_0402_1005Metric",6.512718,21.071929,-90.000000,bottom
"R8","10K","R_0402_1005Metric",2.143918,55.158729,-90.000000,bottom
"R10","5.1K","R_0402_1005Metric",4.963318,1.287329,-90.000000,bottom
"R11","100","R_0402_1005Metric",18.120518,45.026129,-90.000000,bottom
"R12","1K","R_0402_1005Metric",8.316118,18.152929,-90.000000,bottom
"R16","10K","R_0402_1005Metric",6.512718,23.080529,-90.000000,bottom
"R20","56K","R_0402_1005Metric",18.933318,1.287329,-90.000000,bottom
"R22","56K","R_0402_1005Metric",3.845718,1.287329,-90.000000,bottom
"R24","5.1K","R_0402_1005Metric",17.866518,1.287329,-90.000000,bottom
"R27","DNF","R_0402_1005Metric",19.238118,16.628929,0.000000,bottom
"R28","10K","R_0402_1005Metric",14.513718,18.787929,180.000000,bottom
"R29","10K","R_0402_1005Metric",14.513718,17.771929,0.000000,bottom
"R32","10K","R_0402_1005Metric",7.198518,12.592329,-90.000000,bottom
"R33","5.1K","R_0402_1005Metric",8.163718,12.592329,90.000000,bottom
"R34","27","R_0402_1005Metric",6.461918,27.982729,90.000000,bottom
"U1","NCP115AMX120TCG","OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm",3.718718,49.648929,180.000000,bottom
"U2","W25Q32JVSSIQ","SOIC-8_5.23x5.23mm_P1.27mm",15.021718,12.056929,180.000000,bottom
"U4","TL431DBZ","SOT-23",6.030118,17.797329,90.000000,bottom
"U6","ICE40UP5K-SG48ITR","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",11.719718,45.330929,0.000000,bottom
"U8","W25Q32JVSSIQ","SOIC-8_5.23x5.23mm_P1.27mm",7.350918,57.573729,0.000000,bottom
"U9","NCP115AMX330TCG","OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm",3.916718,9.112929,0.000000,bottom
