Designator,Mid X,Mid Y,Layer,Rotation,Val,Package
C3,5.369718,6.849929,Bottom,-90,4.7u,C_0402_1005Metric
C6,11.592718,30.697929,Bottom,90,4.7u,C_0402_1005Metric
C7,3.789718,51.403929,Bottom,0,4.7u,C_0402_1005Metric
C8,11.338718,15.485929,Bottom,180,0.1u,C_0402_1005Metric
C15,13.624718,30.725929,Bottom,-90,0.1u,C_0402_1005Metric
C16,9.560718,30.725929,Bottom,90,0.1u,C_0402_1005Metric
C17,6.563518,25.391929,Bottom,-90,0.1u,C_0402_1005Metric
C20,16.342518,22.420129,Bottom,-90,4.7u,C_0402_1005Metric
C21,16.875918,43.171929,Bottom,-90,0.1u,C_0402_1005Metric
C22,17.815718,43.171929,Bottom,-90,4.7u,C_0402_1005Metric
C24,12.981647,50.726047,Bottom,180,0.1u,C_0402_1005Metric
C25,12.981647,51.691247,Bottom,180,4.7u,C_0402_1005Metric
C26,12.964318,55.668729,Bottom,0,0.1u,C_0402_1005Metric
C27,6.131718,44.822929,Bottom,90,0.1u,C_0402_1005Metric
C28,17.147247,50.751447,Bottom,-90,0.1u,C_0402_1005Metric
C29,7.071518,42.054329,Bottom,-90,0.1u,C_0402_1005Metric
C30,6.106318,42.054329,Bottom,-90,4.7u,C_0402_1005Metric
C31,15.247718,50.167247,Bottom,0,4.7u,C_0402_1005Metric
C33,17.180718,46.880329,Bottom,90,0.1u,C_0402_1005Metric
C34,18.120518,46.880329,Bottom,90,4.7u,C_0402_1005Metric
C36,6.004718,15.384329,Bottom,0,0.1u,C_0402_1005Metric
C37,3.789718,47.847929,Bottom,180,4.7u,C_0402_1005Metric
C39,3.845718,7.357929,Bottom,180,4.7u,C_0402_1005Metric
C41,3.845718,11.040929,Bottom,0,4.7u,C_0402_1005Metric
D1,15.478918,51.259447,Bottom,0,1N4148WT-7,D_SOD-523
D5,8.417718,8.119929,Bottom,-90,1N5819WS,D_SOD-323
PTC1,6.639718,8.246929,Bottom,90,MF-FSMF035X-2,R_0603_1608Metric
R2,19.238118,15.663729,Bottom,0,1k,R_0402_1005Metric
R4,13.599318,22.394729,Bottom,90,27,R_0402_1005Metric
R5,14.564518,22.394729,Bottom,90,27,R_0402_1005Metric
R6,6.461918,29.862329,Bottom,-90,27,R_0402_1005Metric
R7,6.512718,21.071929,Bottom,-90,10K,R_0402_1005Metric
R8,2.143918,55.158729,Bottom,-90,10K,R_0402_1005Metric
R10,4.963318,1.287329,Bottom,-90,5.1K,R_0402_1005Metric
R11,18.120518,45.026129,Bottom,-90,100,R_0402_1005Metric
R12,8.316118,18.152929,Bottom,-90,1K,R_0402_1005Metric
R16,6.512718,23.080529,Bottom,-90,10K,R_0402_1005Metric
R20,18.933318,1.287329,Bottom,-90,56K,R_0402_1005Metric
R22,3.845718,1.287329,Bottom,-90,56K,R_0402_1005Metric
R24,17.866518,1.287329,Bottom,-90,5.1K,R_0402_1005Metric
R27,19.238118,16.628929,Bottom,0,DNF,R_0402_1005Metric
R28,14.513718,18.787929,Bottom,180,10K,R_0402_1005Metric
R29,14.513718,17.771929,Bottom,0,10K,R_0402_1005Metric
R32,7.198518,12.592329,Bottom,-90,10K,R_0402_1005Metric
R33,8.163718,12.592329,Bottom,90,5.1K,R_0402_1005Metric
R34,6.461918,27.982729,Bottom,90,27,R_0402_1005Metric
U1,3.718718,49.648929,Bottom,180,NCP115AMX120TCG,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm
U2,15.021718,12.056929,Bottom,180,W25Q32JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm
U4,6.030118,17.797329,Bottom,90,TL431DBZ,SOT-23
U6,11.719718,45.330929,Bottom,0,ICE40UP5K-SG48ITR,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm
U8,7.350918,57.573729,Bottom,0,W25Q32JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm
U9,3.916718,9.112929,Bottom,0,NCP115AMX330TCG,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm
C1,4.099718,31.868929,Top,0,15p,C_0402_1005Metric
C2,6.004718,31.868929,Top,0,15p,C_0402_1005Metric
C4,11.922918,18.356129,Top,-90,0.1u,C_0402_1005Metric
C5,4.302918,24.807729,Top,180,0.1u,C_0402_1005Metric
C9,14.513718,18.813329,Top,180,0.1u,C_0402_1005Metric
C10,10.983118,18.356129,Top,-90,0.1u,C_0402_1005Metric
C11,18.679318,27.601729,Top,0,4.7u,C_0402_1005Metric
C12,6.842918,18.914929,Top,180,0.1u,C_0402_1005Metric
C13,14.361318,57.192729,Top,180,4.7u,C_0402_1005Metric
C14,4.810918,53.433529,Top,180,0.1u,C_0402_1005Metric
C18,16.342518,18.813329,Top,0,0.1u,C_0402_1005Metric
C19,18.679318,25.366529,Top,0,0.1u,C_0402_1005Metric
C23,18.476118,20.743729,Top,0,4.7u,C_0402_1005Metric
C32,10.957718,57.294329,Top,180,4.7u,C_0402_1005Metric
C35,14.513718,17.873529,Top,180,4.7u,C_0402_1005Metric
C38,18.679318,24.426729,Top,180,4.7u,C_0402_1005Metric
C42,17.434718,7.865929,Top,0,0.1u,C_0402_1005Metric
D2,10.957718,58.928,Top,-90,MHPA1010RGBDT,LED_Cree-PLCC4_1x1mm_CW
D3,17.612518,58.894529,Top,180,LTST-C191KGKT,LED_0603_1608Metric
D4,14.386718,58.928,Top,-90,MHPA1010RGBDT,LED_Cree-PLCC4_1x1mm_CW
D6,18.831718,13.657129,Top,90,1N5819WS,D_SOD-323
J1,11.43,1.143,Top,0,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12
J5,6.792118,15.485929,Top,0,BM03B-SRSS-TB,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical
L1,18.704718,22.699529,Top,-90,3.3u,L_pol_2016
R1,4.099718,30.852929,Top,180,1k,R_0402_1005Metric
R9,14.920118,32.021329,Top,180,27,R_0402_1005Metric
R13,16.901318,35.932929,Top,180,10K,R_0402_1005Metric
R14,17.688718,57.395929,Top,0,2.2K,R_0402_1005Metric
R15,16.418718,16.247929,Top,0,10K,R_0402_1005Metric
R17,10.957718,56.354529,Top,180,1k,R_0402_1005Metric
R18,10.957718,55.389329,Top,180,1k,R_0402_1005Metric
R19,10.957718,54.424129,Top,180,1k,R_0402_1005Metric
R21,4.808918,52.468329,Top,0,10K,R_0402_1005Metric
R23,16.901318,34.967729,Top,180,10K,R_0402_1005Metric
R25,14.513718,16.908329,Top,180,100,R_0402_1005Metric
R26,18.501518,19.753129,Top,0,27,R_0402_1005Metric
RN1,7.300118,53.001729,Top,90,10K,R_Array_Concave_4x0402
SW1,6.665118,9.897929,Top,180,CS1213AGF260,PTS820J25KSMTRLFS
SW2,5.928518,57.497529,Top,-90,CS1213AGF260,PTS820J25KSMTRLFS
U3,11.43,25.4,Top,-90,RP2350_80QFN,RP2350B_QFN-80_EP_10.573x10.573_Pitch0.4mm
U5,15.021718,12.056929,Top,-90,APS6404L-3SQN-SN,SOIC-8_3.9x4.9mm_P1.27mm
Y1,4.861718,34.535929,Top,90,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm
